date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1991-05-13,regime,0.013803,0.53,1.088,normal,0.015849,-3.09,0.324,freeze,0.017339,-2.95,0.309,freeze
1991-05-14,regime,0.013043,0.17,1.028,normal,0.015777,-3.1,0.322,freeze,0.016233,-3.03,0.289,freeze
1991-05-15,regime,0.012929,0.11,1.019,normal,0.01658,-3.02,0.339,freeze,0.017023,-2.97,0.303,freeze
1991-05-16,regime,0.012369,-0.15,0.975,normal,0.013088,-3.35,0.267,freeze,0.016376,-3.02,0.291,freeze
1991-05-17,regime,0.011702,-0.47,0.922,normal,0.012901,-3.37,0.263,freeze,0.016296,-3.03,0.29,freeze
1991-05-20,regime,0.010871,-0.86,0.857,normal,0.012871,-3.37,0.263,freeze,0.014715,-3.15,0.262,freeze
1991-05-21,regime,0.011333,-0.64,0.893,normal,0.012192,-3.43,0.249,freeze,0.014309,-3.18,0.255,freeze
1991-05-22,regime,0.011344,-0.63,0.894,normal,0.012364,-3.42,0.252,freeze,0.014376,-3.17,0.256,freeze
1991-05-23,regime,0.011097,-0.75,0.875,normal,0.012475,-3.41,0.255,freeze,0.014407,-3.17,0.256,freeze
1991-05-24,regime,0.011225,-0.69,0.885,normal,0.012182,-3.43,0.249,freeze,0.013936,-3.21,0.248,freeze
1991-05-28,regime,0.011399,-0.61,0.898,normal,0.012986,-3.36,0.265,freeze,0.013471,-3.24,0.24,freeze
1991-05-29,regime,0.010395,-1.08,0.819,freeze,0.014086,-3.26,0.288,freeze,0.013288,-3.26,0.236,freeze
1991-05-30,regime,0.010397,-1.08,0.819,freeze,0.014119,-3.25,0.288,freeze,0.013294,-3.26,0.237,freeze
1991-05-31,regime,0.010388,-1.09,0.819,freeze,0.01448,-3.22,0.296,freeze,0.013579,-3.23,0.242,freeze
1991-06-03,regime,0.010169,-1.19,0.801,freeze,0.014494,-3.22,0.296,freeze,0.013324,-3.25,0.237,freeze
1991-06-04,regime,0.010095,-1.22,0.796,freeze,0.01363,-3.3,0.278,freeze,0.012841,-3.29,0.228,freeze
1991-06-05,regime,0.010318,-1.12,0.813,freeze,0.014282,-3.24,0.292,freeze,0.01289,-3.29,0.229,freeze
1991-06-06,regime,0.0104,-1.08,0.82,freeze,0.01427,-3.24,0.291,freeze,0.012857,-3.29,0.229,freeze
1991-06-07,regime,0.010833,-0.88,0.854,normal,0.014268,-3.24,0.291,freeze,0.013012,-3.28,0.232,freeze
1991-06-10,regime,0.010093,-1.22,0.795,freeze,0.013659,-3.3,0.279,freeze,0.013409,-3.25,0.239,freeze
1991-06-11,regime,0.009989,-1.27,0.787,freeze,0.013517,-3.31,0.276,freeze,0.012888,-3.29,0.229,freeze
1991-06-12,regime,0.010729,-0.92,0.846,normal,0.013612,-3.3,0.278,freeze,0.014043,-3.2,0.25,freeze
1991-06-13,regime,0.010726,-0.93,0.845,normal,0.012939,-3.36,0.264,freeze,0.013307,-3.25,0.237,freeze
1991-06-14,regime,0.011134,-0.73,0.878,normal,0.012985,-3.36,0.265,freeze,0.01318,-3.26,0.235,freeze
1991-06-17,regime,0.010378,-1.09,0.818,freeze,0.013671,-3.29,0.279,freeze,0.013695,-3.22,0.244,freeze
1991-06-18,regime,0.010779,-0.9,0.85,normal,0.01313,-3.34,0.268,freeze,0.01377,-3.22,0.245,freeze
1991-06-19,regime,0.009852,-1.34,0.776,freeze,0.013296,-3.33,0.271,freeze,0.012511,-3.31,0.223,freeze
1991-06-20,regime,0.009904,-1.31,0.781,freeze,0.013785,-3.28,0.281,freeze,0.012777,-3.29,0.227,freeze
1991-06-21,regime,0.009922,-1.31,0.782,freeze,0.013576,-3.3,0.277,freeze,0.012786,-3.29,0.227,freeze
1991-06-24,regime,0.009792,-1.37,0.772,freeze,0.013387,-3.32,0.273,freeze,0.013048,-3.27,0.232,freeze
1991-06-25,regime,0.008508,-1.97,0.671,freeze,0.012101,-3.44,0.247,freeze,0.013143,-3.27,0.234,freeze
1991-06-26,regime,0.0087,-1.88,0.686,freeze,0.011629,-3.48,0.237,freeze,0.012694,-3.3,0.226,freeze
1991-06-27,regime,0.008456,-2.0,0.666,freeze,0.011737,-3.47,0.24,freeze,0.012798,-3.29,0.228,freeze
1991-06-28,regime,0.008804,-1.83,0.694,freeze,0.011385,-3.51,0.232,freeze,0.012891,-3.29,0.229,freeze
1991-07-01,regime,0.009305,-1.6,0.733,freeze,0.01146,-3.5,0.234,freeze,0.012995,-3.28,0.231,freeze
